GENDER	POVRTY	RACE	KINDER1	FMOTOR	GMOTOR	SCONTROL	INTERP	EXTERN	INTERN	GENERAL	MATH7	MOM_ED
1	2	1	1	4	6	3.5	3.6	1.2	1	27	1.08	5
1	2	1	1	6	3	3.75	3.2	1	1.75	19	1.25	3
2	2	1	1	4	6	3.25	3.2	1	2	22	1.35	3
1	2	1	1	3	6	3	3	1.4	1	15	0.66	3
2	2	1	1	8	8	3.75	4	1	1	25	1.69	5
1	2	1	1	3	4	2.5	3.4	2.6	1.5	28	1.71	4
2	2	1	1	5	8	3.5	4	1.2	1.25	18	1.16	3
2	2	1	1	4	8	3.5	3.6	1	1	20	1.29	3
1	1	1	1	3	6	3	2.2	2.4	2	25	1.81	5
2	2	1	1	4	5	3.5	3.2	1.4	2	18	1.6	5
1	1	1	1	0	7	3	2.4	2.2	1.5	21	0.7	3
2	2	1	1	4	4	3.25	3	1.6	1.75	18	1.49	4
1	2	1	1	6	8	2	2	2.6	2.5	30	1.73	9
2	2	1	1	9	8	3.5	4	1.2	1	23	1.36	5
1	2	1	1	7	8	3.75	3.8	1	1.25	30	1.69	3
1	2	1	1	9	6	3.5	4	1	1.25	27	2.11	6
2	2	1	1	6	7	3.5	3.2	1	1	27	2.13	6
2	2	1	1	7	8	3.25	3.2	1.4	1	24	2.09	5
1	2	1	1	8	6	3.25	3.4	1.4	1	29	2.39	6
2	2	1	1	6	4	3	3	1.8	1.25	19	1.72	3
1	2	1	1	5	0	3	2.6	2.4	2	16	1.64	5
2	2	1	1	3	7	3.25	3.4	1.6	1.25	26	1.64	3
1	2	3	1	7	7	2.33	2.6	2	1.33	21	2.2	8
2	2	1	1	7	8	3.5	3.2	1	1.5	24	1.7	5
2	2	1	1	7	8	2.5	2.8	2	2	22	1.6	6
2	1	1	1	7	6	3	2.8	1	1.25	29	1.05	5
2	1	1	1	7	8	3.5	3.4	1	1	29	1.48	3
2	2	1	1	5	3	3.67	3	1.5	1.75	16	1.42	5
2	2	1	1	1	3	3.25	2.6	1.2	1.25	15	1.04	3
1	2	1	1	6	2	3.5	2.8	1	1.25	31	1.38	3
2	1	1	1	1	5	3.5	3.2	1	2.75	10	0.68	2
1	2	1	1	6	8	3.25	3.2	2	2	26	1.38	5
