GENDER	POVRTY	RACE	KINDER1	FMOTOR	GMOTOR	SCONTROL	INTERP	EXTERN	INTERN	GENERAL	MATH7	MOM_ED
1	2	4	2	9	6	3	3.2	1.6	1.25	28	2.16	6
1	2	1	1	3	6	3	3	1.2	1.25	23	1.49	5
1	2	1	1	5	2	3	2.8	1.2	1.25	28	1.89	6
2	2	1	1	6	5	2.75	2.6	2.4	1.5	19	1.89	3
2	2	1	1	7	7	3	3.2	1.2	1.25	30	1.65	6
1	2	1	1	8	6	3	3	1.4	1.25	27	1.48	5
1	2	1	2	6	6	3	3	1.4	2	33	1.92	5
1	2	1	1	4	5	2	2.6	1.8	1.25	24	1.83	5
1	2	1	1	7	5	2.5	2.4	2	1.5	30	1.56	7
2	2	1	1	6	7	3.25	3.2	1.4	1.25	41	1.87	6
1	2	1	1	5	8	2.5	2.4	2.2	1	28	1.74	5
1	2	1	1	5	2	2	2	3	2	16	1.39	6
1	2	1	1	9	4	2.25	2.8	1.8	1.25	26	1.81	3
2	2	1	1	6	6	3.25	2.8	1.2	1.25	34	2.09	6
1	2	1	1	3	6	2.75	2	1.6	2.5	26	1.65	5
1	2	1	1	7	8	2.75	3	2	1.25	29	2.29	8
2	2	1	1	9	8	4	3.6	2	2	23	2.29	6
1	2	1	1	4	5	2	2	2.4	2.25	26	1.52	8
2	2	1	1	6	8	3	2.4	1.8	1.5	21	0.83	6
1	2	1	1	6	8	2.25	2.2	2.4	2	24	1.81	4
2	2	1	1	5	8	2.5	2	2.2	3	16	1.63	5
1	2	1	1	4	3	3.5	2.8	1.4	2	17	1.4	5
2	2	4	1	1	8	3	4	1.4	1.5	29	1.3	3
2	2	2	1	2	8	3.25	4	1.2	1	22	1.19	2
1	2	2	1	5	8	3.33	3.5	2	1.5	15	1.09	2
2	2	2	1	3	8	2	1.8	2.6	1.75	20	1.18	3
1	1	3	1	5	7	4	4	1	1	13	1.03	2
2	2	2	1	7	8	4	4	1	1	11	0.47	2
2	2	2	1	2	8	4	3.75	1	2	13	0.63	5
1	2	4	1	6	6	2	2	2.6	2.67	12	0.78	5
1	2	1	1	3	5	2.75	3.4	1.4	1	26	1.24	4
1	2	1	1	7	6	2.75	1.75	1.8	1.25	16	1.34	2
1	2	4	1	4	7	2.5	2.6	2.4	1.5	17	1.07	3
2	2	3	1	9	6	3.5	3	1.2	1.5	24	2.15	3
1	2	1	1	7	8	3	2.8	1.4	2	30	1.45	5
2	2	1	1	6	8	3	3	1.4	1.25	30	1.53	5
1	2	1	1	8	6	3.25	3	1	2	30	1.4	5
2	2	3	1	7	3	3.75	3.6	1	1.25	27	1.32	6
1	2	1	1	5	6	3.5	3.8	1	1	34	1.75	8
2	2	1	1	5	5	3.5	3.6	1	1	28	1.06	6
2	2	1	1	6	7	3.5	3	1	1	30	1.39	5
2	2	1	1	5	2	3.25	3.4	1	1	24	0.88	5
1	2	3	1	6	7	3.25	3	1	1.25	34	0.94	5
2	2	1	2	8	8	3.33	3	1.2	2	35	1.39	7
1	2	1	2	5	1	3.25	2.8	1	1.25	15	1.04	3
1	2	1	1	7	7	3	2.8	2	1.25	19	1.18	6
1	2	1	1	7	8	3.67	2.75	1	2	20	1.06	6
1	2	1	1	6	6	3	2.4	1.2	2	22	1.2	5
2	2	1	1	7	8	3	2.6	1.6	1.25	33	2.06	6
1	2	1	1	3	4	3	2.6	1.2	1.75	16	1.31	6
1	2	1	1	6	6	3	3	1.2	2	25	0.91	6
2	2	1	1	9	7	3	3	1.4	1.75	32	1.33	6
1	2	1	1	8	8	3.25	2.8	1	1	25	1.67	5
1	2	3	1	4	4	3.5	2.4	1.8	2	22	1.1	5
1	2	1	1	7	8	3.75	3.8	1	1.75	27	1.78	3
2	2	1	1	7	6	4	4	1	1	24	1.39	3
2	2	1	1	7	5	3.75	3.8	1	1	12	1.63	6
2	2	1	1	5	4	2.67	2.2	1.6	1	37	2.55	6
1	2	1	1	8	8	2.67	2.75	1.2	1	28	1.05	5
1	2	1	1	6	5	2.67	2.8	1.6	1	25	1.45	5
2	2	1	1	6	6	3.75	3.2	1	1.25	26	1.37	5
2	2	1	1	6	8	3.25	3.4	1.2	1.25	29	1.97	6
1	2	1	1	7	8	4	4	1	1	21	1.19	6
1	2	3	1	4	1	2	2	3.6	3	11	1.5	3
1	2	1	1	6	5	3.25	3.8	1.75	1.75	23	1.21	5
1	2	1	1	7	8	3.5	3.4	1.6	1.25	32	1.8	5
2	2	1	1	4	8	4	3.8	1	1	25	1.13	3
2	2	1	2	6	1	2	2.2	2	1.75	20	0.81	5
2	2	4	1	6	6	3.25	2.8	1	2	11	1.38	2
1	2	4	1	6	6	3.25	2.25	1.2	2.25	20	1.74	5
2	2	1	1	4	4	3	2.8	1.6	2.25	18	1.29	6
1	2	1	2	7	7	2.25	2.6	2.6	1.25	36	1.59	6
1	2	1	1	2	3	3	3.2	2	1.5	20	1.34	4
2	1	3	1	8	7	3	3.2	1.8	1.25	28	1.83	5
2	2	2	1	7	8	3.75	3.2	1	1.5	27	2	6
1	2	1	1	4	4	2	2.25	2	1.25	35	1.39	6
2	2	1	1	1	7	3.25	3.25	1.6	1.5	19	1.24	6
2	2	1	1	8	5	3.75	3.25	1.2	1.75	24	2.14	5
1	2	1	1	3	5	3.75	3	2	1.25	24	1.64	5
2	2	1	1	4	8	3.25	3	1	1	20	1.54	5
1	2	1	1	3	5	2	2	1.8	2.25	34	2.07	6
1	2	1	1	8	5	2	2	2	2	31	1.99	6
2	2	1	1	4	8	2.5	3	1.8	2	30	1.94	5
1	2	1	1	7	3	3.5	2.8	1.4	1.25	23	1.87	6
1	2	1	1	5	6	3.5	2.4	1.2	2	35	1.82	9
1	2	1	1	7	6	2.75	2.8	1.2	1	33	2.42	5
1	2	1	1	5	4	2.75	2.8	2	1	30	2.07	6
1	2	1	1	7	4	3.25	3.2	1.2	1	28	1.73	8
2	2	1	1	8	8	2.5	2.4	3.2	2	25	1.83	6
2	2	1	1	5	8	3.25	3.6	1.6	1	28	1.07	5
2	2	1	1	8	4	3.5	3.4	1.4	1	24	1.66	6
1	2	1	1	5	8	3.5	3.4	1.5	1.33	35	1.83	6
2	2	1	1	3	6	2.5	2.8	2.2	1.25	21	1.25	5
2	2	1	1	7	8	3.5	3.8	1	1	34	1.82	5
1	2	1	1	5	1	2.5	2	2.4	2.5	27	2.2	6
2	2	1	1	6	4	3	3.2	1	2	26	1.61	5
2	2	1	1	5	6	3.5	3.4	1	1	18	1.68	5
1	2	1	1	6	8	3.25	3	1	1	36	1.47	6
1	2	1	1	6	0	2.25	2	2.6	2.5	19	1.43	3
2	2	1	1	8	4	3.25	3	2.2	2.25	27	1.62	6
2	2	1	1	6	8	3.75	4	1.2	1	22	1.35	5
2	2	1	1	6	8	3.25	3.4	1.5	1.75	27	1.38	5
1	2	1	1	7	6	2	2	3.8	2.25	20	1.61	3
1	2	1	1	3	5	3.75	3.6	1	1.75	23	1.16	5
2	2	1	1	6	3	4	4	1	1	28	1.68	5
2	2	1	1	7	6	3.75	3.4	1.4	1	21	1.28	3
2	2	4	1	1	8	3.33	3.8	1	1.25	26	1.31	6
2	2	1	1	4	4	3.5	3	1.2	1	31	2.03	3
2	2	1	1	3	5	3.75	2.8	1	1.25	22	1.42	6
2	2	1	2	6	6	4	3	1.4	1	27	1.81	5
1	1	1	2	6	8	2.5	1.8	2.2	2.33	27	0.62	3
1	2	1	1	3	4	4	3.8	1.2	1	21	1.47	5
2	2	1	1	6	8	4	3.8	1	1.25	23	1.7	3
1	2	1	1	2	2	2.25	2.2	2	2.25	18	1.48	3
1	2	1	1	8	5	3.75	3.6	1.4	1.25	20	1.78	3
1	2	1	1	7	8	3.25	3.2	1.6	1	37	1.41	3
1	2	1	1	5	8	3.5	3	1.4	1	32	1.59	8
2	2	1	1	4	2	2.5	2.2	2.2	2.67	21	0.99	6
1	2	1	1	5	7	3.75	3	2.8	3	16	1.53	5
1	2	1	1	7	8	3.33	2.75	1.5	1	26	1.85	3
1	2	1	1	7	8	2.25	3.2	2.6	1.5	32	1.18	3
2	2	4	1	6	2	2.75	3.4	1.6	1	13	2.2	3
1	2	1	1	7	6	2	2.4	1.8	1.25	20	1.39	3
1	2	3	1	6	4	2.25	2.6	2	1	26	1.22	5
1	2	1	1	5	8	3.25	2.8	1.2	1.25	37	1.46	3
2	2	3	1	6	2	2.25	2.4	1.25	1.75	12	1.69	2
2	2	1	1	5	5	2.25	2.2	2.8	1.25	27	1.25	3
1	2	1	1	4	5	3.25	3.4	1	1.25	21	1.15	4
1	2	1	1	2	5	3.5	3.6	1.6	1.25	19	1.08	5
1	1	1	1	5	1	2.33	2	2	1.25	26	2.18	5
2	2	1	1	6	7	4	3.6	1.6	1.5	20	1.49	2
2	2	1	1	6	8	3.75	3.8	1.4	1	23	1.16	5
2	2	1	1	7	6	3	2.8	1	1.25	30	1.55	5
1	2	1	1	5	8	3.25	3	1	1	28	0.94	6
2	2	1	1	3	5	2.5	2.4	2	1	17	1.43	3
2	2	1	1	4	8	3	2.8	1.2	1.25	27	1.14	5
2	2	1	1	1	5	3	2.8	1	1.5	23	1.37	3
1	2	1	1	6	6	3.5	3	1	1.5	29	1.72	6
2	2	1	1	8	8	3	3	1	1.5	21	1	3
2	2	1	1	7	6	3.25	2.8	1	1.25	24	1.21	5
2	1	1	1	4	2	2.75	2.8	1.2	1.25	31	1.35	5
2	2	1	1	8	6	3.25	2.6	1	1	41	2.03	4
2	2	1	1	5	7	2	2	2.4	1.25	21	1.24	3
2	2	1	1	7	6	3	2.8	1	1.25	27	1.63	5
1	2	1	1	9	6	3.25	3	1.2	1.5	40	2.17	6
1	2	1	1	9	6	3.75	3.8	1.2	1.25	34	1.72	3
2	2	1	1	6	5	3.25	2.6	1.6	1.75	36	1.76	9
2	2	1	1	7	4	3.5	3.8	1	1.75	23	1.85	6
2	2	1	1	7	5	2.75	2.6	1.8	1.5	26	1.42	5
1	2	1	1	6	6	2.75	2.6	2	1.75	11	1.4	4
2	2	1	1	9	7	3.25	3	1.2	2.5	27	1.76	6
2	2	1	1	8	5	3.75	3.8	1.2	1.75	25	1.87	6
2	2	4	1	5	6	3	3	1.6	2	18	1.43	5
2	2	1	1	7	8	4	3.6	1	1.5	35	1.63	8
1	2	1	1	2	8	4	3.6	1	1.25	24	1.65	5
1	2	1	2	8	6	4	3.8	1	1.25	24	2.04	3
1	2	1	2	7	6	4	3.75	1	1.25	37	1.86	5
2	2	1	2	7	8	3.75	3.8	1	1.25	34	1.41	5
1	2	1	1	6	7	2.5	2.4	2	1.5	37	1.12	7
2	2	1	1	5	6	3	3	1	1.25	30	1.77	3
1	1	1	1	3	7	2.5	2.4	1.8	1	25	1.55	3
1	2	1	1	3	3	3	3	1.2	1	33	1.29	3
2	2	1	1	4	7	3.25	3	1.2	1.25	20	1.17	5
1	1	2	1	2	0	3.25	3.8	1.4	1.75	12	1.27	5
2	2	3	1	6	7	3.75	3.6	1.8	1.5	30	1.65	5
1	2	1	1	7	4	4	4	1	1	28	1.79	5
2	2	3	1	5	7	4	3.8	1	1.25	15	1.39	3
2	2	1	1	8	6	3.75	3.8	1.4	1.25	31	1.42	5
2	2	4	1	5	2	3.25	3.2	1	1	14	1.79	6
2	2	2	1	4	5	3	3	1.6	1	8	1.24	5
1	2	3	1	3	6	3.25	2.8	1	2	12	1.1	5
1	2	3	1	4	5	3	3	2	1	16	1.53	5
2	2	2	1	2	6	3	3	1	1	25	1.35	5
1	1	2	1	0	8	2.75	2.6	2	1.5	16	0.45	3
1	2	2	1	3	3	3	2.25	1.2	1.75	12	0.82	5
1	2	1	1	7	4	2.75	2.4	1.8	1	31	1.33	5
1	2	4	1	6	6	3.75	3.8	1.6	1.75	28	1.83	6
2	2	1	1	8	8	2.75	2.8	1.8	1.25	24	1.49	7
2	2	4	1	4	2	2	2	2.4	2	18	1.09	6
2	2	1	1	5	6	2.75	3	1.6	1.25	30	1.3	5
1	2	1	1	8	4	3.5	3.2	1	1.5	35	2.3	8
2	2	1	1	6	2	3	3	1	2	29	1.29	5
2	2	1	1	7	6	3.25	3	1.6	1.25	32	1.73	5
1	2	1	1	7	8	4	4	1	1	30	2	5
1	2	1	2	6	8	3	2.4	2	1.25	38	2.07	7
2	1	2	1	0	5	3.33	1.5	1	2.75	12	0.53	4
1	2	4	1	9	6	3.25	3	1.2	1	16	1.81	5
2	2	1	1	8	8	3.5	2.6	1	1.5	16	1.13	4
2	2	1	1	6	4	4	3.6	1.2	1.75	16	1.67	6
2	2	1	1	4	4	3.67	3.75	2	1.25	22	1.44	3
1	2	1	1	5	6	4	3	1.2	2.25	33	2	6
1	2	1	2	6	6	2	2	2.6	1.25	34	1.88	6
1	2	1	1	7	8	2.75	3.6	1.4	1.25	40	1.66	8
1	2	1	1	7	6	3.5	3	1	1.25	32	1.83	6
2	2	4	1	7	8	3.5	3.4	1	1.25	31	1.54	6
1	2	1	1	5	6	3.5	3	1	1.75	24	1.79	6
1	2	1	1	7	6	3	2.8	1.4	1.25	31	1.63	9
1	2	1	1	5	4	3.25	3.4	1.2	1.25	22	1.77	6
2	2	1	1	7	8	2.5	2.8	2	1.75	20	1.51	6
1	2	1	1	7	7	3	3	1.8	2	33	1.54	6
2	2	1	1	5	5	3.33	2.75	1.6	1.75	23	1.95	5
1	2	1	1	7	4	3	2.4	1.6	1	35	1.6	9
1	2	1	1	9	8	3.25	3	1.2	1.25	29	1.6	6
1	2	1	1	6	6	3.75	3.2	1	1.5	34	1.93	3
2	2	1	1	6	6	3.5	3	1.4	1	20	2.08	5
1	2	4	1	7	8	3.5	3	1	2.25	27	1.87	6
1	2	1	1	6	7	2.75	2.6	1.6	1.5	30	2.2	6
2	2	1	1	8	8	3	3	1.2	1	27	1.43	5
1	2	1	1	9	8	3.25	3.6	2	1.25	31	2.04	3
2	2	1	1	6	8	3.75	3.6	1.4	2	21	1.39	5
1	2	1	1	4	6	3.25	3.2	1.8	2	16	1.35	3
1	2	1	1	4	5	2.67	2.8	2.2	2	21	1.44	9
1	2	1	1	8	7	3	3.4	1.6	2	28	1.69	4
2	2	1	1	7	8	3	3.8	1.25	1.75	26	1.53	4
2	1	4	1	4	8	3.75	4	1	1.75	25	0.79	5
2	2	1	1	7	8	3.5	3.4	1.2	1.75	27	1.12	5
2	2	1	1	5	1	4	3.6	1.8	2.25	23	1.18	5
1	2	1	1	8	8	3.25	2.8	2.6	1	25	1.2	3
1	2	1	1	2	4	3.75	3.2	1.2	3	9	0.72	3
2	2	1	1	7	3	4	4	1.6	1.75	37	2.07	6
2	2	1	1	6	8	4	4	1.6	1.25	30	1.87	5
2	2	1	1	7	4	3.25	3.8	1.2	1.75	28	1.62	3
1	2	1	1	6	4	2.75	2.6	3	1	27	1.78	5
2	2	1	1	6	4	4	4	1	2	29	2.01	8
2	2	1	1	6	7	2.75	2	2	2	14	1.28	4
1	2	3	1	8	8	3	3	1.8	1.75	31	1.22	5
1	2	1	1	5	7	3	2.6	1.4	2	21	1.33	5
1	2	1	2	8	5	2.25	2.2	2.4	1.75	30	1.46	6
1	2	1	1	8	7	3.25	3.2	1.4	1	34	1.66	5
1	2	1	1	8	8	2	2	3.2	1.67	24	1.36	5
1	2	3	1	8	4	1.75	1.8	3.6	1.25	34	1.52	5
2	2	1	1	5	7	3.5	3.2	1.6	1.25	20	1.2	5
1	2	1	1	7	5	3	3.4	1.6	1	21	0.99	5
2	2	1	1	5	7	2.25	2.2	2.6	2	25	0.97	3
2	2	1	1	4	7	3	3	1.6	2	29	1.2	6
2	1	1	1	3	2	3.25	3	1.6	1.75	13	0.8	5
1	2	4	1	2	5	1.5	2	4	2	15	1.7	6
2	2	2	1	5	6	4	4	1	1	20	1.68	3
1	1	2	1	3	7	2.25	2.5	2	1.67	12	0.9	3
1	1	1	1	3	5	2.25	2	2.4	2.25	10	0.4	2
1	2	2	1	4	3	3	2.8	1.2	1.5	9	0.95	5
2	1	1	1	6	2	4	3.5	1	1	24	1.8	5
2	2	1	1	5	8	3.75	3.2	1.2	2.5	23	0.99	5
1	2	1	1	6	8	2.25	2	2.8	1	21	1.41	5
2	2	1	1	8	8	4	3.4	1	1	33	1.64	8
1	2	3	1	8	8	3.5	2.2	1	1.5	29	1.42	5
2	2	1	1	7	2	2.75	2.2	1	1.75	20	1.2	5
2	2	1	1	4	8	3.5	2.8	1	2	24	1.81	7
1	2	1	1	5	7	1.75	2.2	3.8	4	16	1.32	3
2	2	1	1	7	6	3.25	3.8	1	1.5	21	1.39	3
1	1	1	1	6	8	3.67	3.4	1	1	30	2.16	6
1	2	1	1	4	8	3.75	3.2	1	1.5	26	1.77	6
2	2	1	2	8	8	3.5	3.2	1.4	1	38	1.76	6
1	2	1	1	9	5	4	3.6	1	1.25	30	1.84	5
1	2	1	1	4	3	3.5	2.8	1.2	2	27	1.49	5
2	2	1	1	6	7	3.25	2.6	1.2	1.25	26	1.53	6
1	2	1	1	3	5	2	2	2.6	2	22	1.08	6
2	2	1	1	5	7	4	4	1	1.25	36	2.08	6
2	2	1	1	5	4	3.5	3	2	1	26	1.52	5
1	2	1	1	6	7	3.75	3.8	1	1	25	1.39	3
1	2	1	1	9	8	3.25	3.2	1.6	1	31	1.41	3
1	2	1	1	6	6	3.25	3.5	1.8	1.25	27	2.3	4
2	2	1	1	8	6	3.5	3.6	1	1.5	26	1.51	6
2	2	1	1	6	6	3.75	4	1.4	1	37	2.35	5
2	2	1	1	8	8	3.5	3.2	1	2.25	16	1.69	6
1	2	1	1	7	6	2	2	2	1.5	21	1.67	3
1	1	1	2	7	7	3	3.4	1.2	1.5	28	1.38	3
2	2	1	2	8	7	2.25	2.2	2.2	2	11	0.67	5
1	2	1	1	4	2	2.75	2.6	1.8	1.5	23	1.57	5
2	2	1	1	5	4	3.25	3.2	1	2.25	20	1.13	5
1	2	1	1	4	5	2.67	2.6	2.4	1	16	0.69	3
2	2	4	1	5	4	3	2.4	2.4	2.75	18	1.51	3
1	2	1	1	3	6	3.33	2	1	3.25	20	1.77	5
2	2	1	1	7	8	4	4	1	1	23	1.46	3
2	1	1	1	4	8	3.75	3.4	1.4	1	16	1.45	5
1	2	1	1	1	1	2.25	3	2	2	12	1.11	5
1	1	1	1	7	5	2.25	2.8	2.4	1.75	12	0.83	3
1	2	1	1	5	2	3.33	3.8	1.8	1.25	29	1.35	3
1	2	1	1	8	8	3	4	2	2	17	1.35	3
1	2	4	1	7	2	2.75	3	2	2.25	18	1.56	5
1	1	4	1	6	7	2.5	3	2	1.25	19	1.48	3
2	2	1	1	6	8	3.25	3	1	1.25	29	1.72	2
1	2	1	1	6	8	3.5	3	2	1.5	24	1.93	5
2	2	1	1	4	6	3.25	2.6	1	1	23	1.21	3
2	2	1	1	7	8	3.25	1.75	1.2	1	29	2.22	3
1	2	1	1	7	7	3.25	3.2	1	1.25	31	1.62	5
2	2	1	1	5	8	3	2.5	1.4	1	20	2.05	5
2	2	1	1	5	6	3	2.25	1	1.25	12	1.7	5
1	2	1	1	3	8	2	1.6	2.8	2.25	20	1.38	5
2	2	1	1	7	8	3.25	3	1	1	28	1.37	3
2	2	1	1	9	8	3.5	3.8	1	1.25	38	2.3	6
2	2	3	1	3	8	2	1.75	3.2	1	17	1.29	7
2	2	1	1	9	6	3.5	2.25	1	1	27	1.76	5
2	2	1	1	5	8	3.25	2.25	1	1	20	1.87	5
2	2	1	1	4	8	2.5	3	1.6	1	32	1.51	5
1	2	1	1	9	8	3.5	2.8	1	1.25	21	1.54	6
1	2	1	1	4	4	2.5	2.2	2.4	2	31	1.55	5
2	2	1	1	4	6	3.75	3.5	1	1	27	1.92	3
2	2	1	1	3	5	3.25	3.2	1	1.25	20	1.12	3
2	2	1	1	7	8	2.75	2.2	1.4	2	22	1.19	3
2	2	1	1	7	8	3.5	3.8	1	1.25	37	1.86	5
2	2	1	1	8	8	3	2.6	1.6	1.75	45	2.06	5
2	2	4	1	8	8	4	4	1	1	19	1.67	6
2	2	1	1	7	6	3.5	3	1	2.25	28	1.79	5
1	2	1	1	7	8	2.75	2.4	2.6	2.25	30	1.31	5
2	2	1	1	4	8	3.75	2.8	1	1.5	28	1.84	7
2	1	1	1	6	5	4	3.6	1	1	32	1.68	4
2	2	2	1	5	8	3.5	3.4	1.6	2	22	1.16	5
1	2	3	1	9	4	3.75	3	1.6	1	33	1.82	5
1	2	2	1	2	4	4	3.6	1	1.5	26	1.52	5
2	2	1	1	7	8	3.25	3.4	1.2	1.25	26	1.9	9
1	2	1	1	5	6	3.5	3.6	1	1	38	1.91	6
2	2	1	1	6	8	2.33	3.5	1.8	1	37	2.41	8
2	2	2	1	2	6	2.5	2.25	1	2.25	17	1.09	5
1	2	1	1	4	6	3	2.25	1	1.25	24	1.27	3
1	2	1	1	7	8	3	3.2	1.4	1	27	2.33	6
2	2	1	1	6	7	4	4	1	1	33	2.55	3
1	2	1	1	6	7	3.75	3.25	2	1.75	16	1.98	3
2	1	1	1	4	6	4	4	1.4	1.25	24	1.16	4
2	2	1	1	6	8	4	3.8	1	1.5	27	1.82	3
1	2	1	1	9	7	4	3.6	2.2	1.25	20	1.7	3
1	2	3	1	4	7	2.75	2.6	2	2.25	23	1.62	2
1	2	3	1	5	8	3	2.8	2	1	24	1.05	6
1	2	4	1	6	8	2.5	2.4	2.2	1.5	28	1.02	5
2	2	1	1	9	8	3	3	1.4	1.75	34	1.9	6
2	2	1	1	8	6	2.5	2.6	1.6	1.25	36	1.8	6
2	2	1	1	8	8	3	2.6	2	2.25	28	1.72	6
1	2	1	1	7	6	3	2.8	1.2	2	33	1.41	3
2	2	1	1	6	6	2.5	2	1.4	2.5	28	1.01	3
1	2	1	1	7	8	2.75	3.2	1.6	1.25	39	1.8	5
1	2	1	1	9	8	2.75	3	1	2.25	26	1.5	8
2	2	1	1	9	8	3.25	3	1	1.25	38	1.85	6
1	2	1	1	5	8	2.75	3	1.8	1.25	42	1.88	6
1	2	1	1	7	8	3.5	3.8	1	2.25	37	1.99	9
1	2	1	1	5	8	2.75	2.8	2	1	36	1.58	6
2	2	1	1	6	8	4	3	1.4	1	25	1.32	7
2	2	1	1	8	8	3.25	2.6	1	2.75	28	1.86	6
2	2	1	2	9	8	3.75	3.4	1	1	28	1.68	6
2	2	1	1	6	8	3.5	2.6	1	2.25	34	1.34	6
1	2	1	1	6	8	3	2.8	1.8	1.5	37	1.39	6
2	2	1	1	3	8	3.5	3.6	1.2	1.25	29	1.24	5
2	2	1	1	7	3	4	3.8	1.2	1.25	37	1.23	3
1	2	1	1	5	3	2.5	1.6	2	1.25	26	1.74	8
1	2	1	1	5	7	4	3.6	1	1.25	33	1.43	9
1	2	2	1	8	8	2.5	2.2	1.8	1.25	23	1.31	6
2	2	1	1	3	7	3.75	3.4	1	1.25	34	1.43	6
1	2	4	1	7	8	4	4	1	1.25	20	1.37	3
1	2	1	1	5	8	3.75	3.4	1	1.25	35	1.3	9
1	2	2	1	8	6	3.5	3.6	1.2	1.25	23	1.38	5
1	2	4	1	6	8	3.75	3.6	1.6	1.5	34	1.65	8
2	2	1	1	9	7	4	4	1	1	29	2.07	8
1	2	1	1	6	5	3.75	4	1	1	26	1.55	8
1	2	1	1	6	8	3.25	3.8	1	1	31	1.98	6
2	2	1	1	4	8	3.25	3.4	1.4	1.5	21	1.06	4
1	2	1	1	7	6	3.5	2.8	1	2.25	17	2.06	4
2	2	1	1	8	8	3	3	1.6	1	25	1.56	6
2	2	1	1	9	7	4	4	1	1	37	1.94	5
1	2	1	1	1	6	2.75	2.2	1.8	2	24	1.23	3
1	2	1	1	7	6	3	2.8	1.4	1	38	1.94	5
1	2	1	1	6	8	3.25	3	2	1.25	21	1.26	5
1	2	2	1	7	8	3.25	3.2	1.4	1	26	1.71	5
2	2	1	1	8	7	3.25	3	1	1	28	1.5	5
1	2	1	1	7	8	3.25	2.2	1.4	1.25	25	1.64	6
1	2	1	1	9	6	3.25	3.2	1.4	1.25	32	1.66	4
1	2	1	1	8	6	3.25	3.2	1	1	33	2.12	6
1	2	1	1	9	8	3.25	3.2	1	1	31	1.84	9
2	2	1	1	9	7	3.25	3.2	1.4	1	36	1.25	4
1	2	1	1	6	8	3.5	2.6	1	2.5	25	1.45	6
2	2	1	1	6	5	3.33	2.75	1	1.33	23	0.86	3
2	2	1	1	9	6	3.75	3.2	1	1.25	34	1.51	5
2	1	4	1	8	8	3	2.6	1	1.75	22	0.89	2
2	2	4	1	8	8	3.75	3.8	1	1.25	29	2.38	6
1	2	1	1	6	8	2.5	2.2	2	2	23	1.3	5
1	2	1	1	7	6	4	4	1	1.25	24	1.67	4
2	2	1	1	7	8	4	4	1.2	1.25	28	1.37	3
2	2	1	1	8	8	4	3.5	1	1.25	38	1.45	6
2	2	1	1	8	8	4	4	1	1.5	37	1.51	3
2	2	1	1	6	0	4	4	1	1.25	29	1.68	7
2	2	1	1	7	8	3.5	3.5	1	1	30	1.9	8
1	2	1	1	5	8	3.5	3.5	1	1	30	1.88	3
1	2	1	1	5	2	3.25	2.5	1.8	1.5	24	1.5	5
2	2	3	1	6	7	3	3	1.4	1.5	14	0.77	3
1	2	1	1	6	0	3.25	2.4	1.2	2.25	26	1.69	3
1	2	1	1	8	6	2	2.4	2	2	31	1.73	8
1	2	1	1	2	0	4	3.6	1.8	1.25	27	1.37	8
1	1	2	2	7	8	3	4	2	1.33	17	0.95	3
2	2	1	1	8	8	3	4	1	1	29	1.51	5
2	2	1	1	7	5	4	4	1.8	1	27	1.05	5
2	1	2	1	4	8	4	4	1.4	1.33	20	1.06	3
1	2	1	1	8	8	4	3.8	1.2	1	27	2.11	5
1	2	1	1	6	8	4	4	1.2	1	26	1.25	8
2	2	1	1	8	6	4	3.8	1	1	24	1.19	5
1	1	1	1	6	2	3.5	2.5	1	2.5	24	1.99	3
2	2	1	1	9	8	3.5	2.75	1.4	1.25	24	1.11	6
1	2	1	1	6	8	3.75	2.8	1.4	2	17	1.16	3
2	1	2	1	6	6	2	1.5	3.2	2.25	18	0.76	3
2	1	1	1	8	8	3.5	3.2	1	1.75	27	1.85	5
2	2	1	1	9	6	3	2.8	1.4	1	31	1.01	3
1	1	2	1	5	7	1.67	1.5	2.2	2	9	0.98	4
1	2	1	1	6	8	3	3	1.4	1.5	27	1.38	5
2	2	1	1	7	8	3.75	4	1	1.25	26	1.41	2
2	2	1	1	8	7	3.5	3.8	1	1.75	29	1.82	3
2	2	3	1	6	7	3.5	3.4	1.2	1.75	19	1.18	5
1	2	3	1	5	8	2.75	2.6	2	1.25	23	1.28	5
2	1	2	1	6	7	2.25	2.8	2	1.5	24	1.32	3
1	2	1	1	2	8	3.75	3.8	1.2	1.5	32	1.46	4
2	2	1	1	5	8	4	3.6	1	1.5	25	1.07	3
2	2	2	1	9	8	3	2.6	2.2	2.75	24	1.8	5
1	1	1	1	5	3	2.5	2.2	2.6	2	13	1.59	2
2	2	1	1	8	8	2.5	2.4	2.6	2	22	1.11	5
2	2	1	1	6	6	3.25	3.6	1.2	2	30	1.39	5
1	2	1	1	9	6	3.5	3.8	1	2	39	2.06	4
2	2	1	1	7	7	3	2.6	1.4	2	24	1.34	3
1	2	1	1	8	5	4	3.8	1	1.25	37	2.38	3
1	2	1	1	9	7	3	3	1.4	1.25	36	1.44	4
2	2	1	1	4	8	3	3.4	1.4	1.25	27	0.97	5
2	2	1	1	8	6	2.5	2.6	1.8	2	24	1.25	5
2	2	1	1	8	6	2.75	3.2	2	2	32	1.7	5
1	2	1	1	8	8	3.25	3.2	1.2	1.25	25	1.4	5
1	2	1	1	7	8	2.5	2.8	2	2	27	2.26	5
2	2	1	1	9	8	2.5	2	3	1.75	31	1.72	6
2	2	1	1	9	8	4	4	1.2	2	36	1.5	3
